FIPStxt,PCTPOVALL_2013,POP_ESTIMATE_2013,Unemployment_rate_2013,bachelor_or_higher_2013
05083,18.7,"22,076",7.9,11.7
05085,12.6,"70,834",6.2,18.2
05087,20.2,"15,721",5.9,10.3
05089,19.0,"16,427",7.8,12.9
05091,21.4,"43,380",6.6,13.9
05093,25.6,"44,734",11.4,13.0
05095,28.7,"7,667",8.8,11.3
05097,22.4,"9,216",8.5,12.9
05099,21.1,"8,789",7.7,12.8
05101,23.5,"8,068",7.1,12.7
05103,27.5,"25,013",9.7,15.5
05105,17.5,"10,344",9.4,11.9
05107,36.6,"20,426",11.6,12.0
05109,21.9,"11,126",8.9,13.8
05111,24.7,"24,222",8.4,8.6
05113,24.4,"20,354",7.3,12.3
05115,20.0,"62,747",7.5,20.7
05117,19.6,"8,360",7.1,9.3
05119,17.3,"391,536",6.6,31.2
05121,22.6,"17,634",9.6,12.3
05123,37.3,"27,302",10.6,11.7
05125,10.3,"114,185",5.9,23.4
05127,21.2,"10,914",6.4,11.6
05129,25.9,"7,990",8.0,12.0
05131,22.1,"127,118",7.6,19.2
05133,22.2,"17,342",8.3,8.6
05135,22.8,"17,068",9.9,11.0
05137,26.2,"12,533",8.8,14.2
05139,21.0,"40,675",8.6,16.1
05141,18.9,"16,965",9.6,13.6
05143,20.9,"216,753",5.4,28.7
05145,17.2,"78,661",8.0,18.1
05147,28.0,"7,052",9.8,10.1
05149,19.7,"21,807",6.6,9.4
06000,16.8,"38,431,393",8.9,30.7
06001,13.0,"1,583,226",7.3,41.8
06003,19.7,"1,150",9.8,31.2
06005,14.3,"36,602",10.3,19.3
06007,21.4,"222,420",10.3,24.4
06009,15.0,"44,614",10.0,21.2
06011,13.0,"21,432",19.0,13.8
06013,10.8,"1,095,980",7.5,39.0
06015,23.7,"27,827",11.8,14.0
06017,11.4,"181,542",8.5,32.0
06019,28.6,"956,102",13.2,19.6
06021,19.1,"27,914",12.1,14.6
06023,21.5,"134,620",8.2,27.5
06025,22.7,"177,517",24.9,13.3
06027,15.7,"18,423",7.9,21.4
06029,22.7,"865,923",11.7,15.0
06031,21.8,"150,862",13.5,12.9
06033,23.3,"63,843",10.8,16.2
06035,19.1,"32,212",10.6,13.1
06037,19.0,"10,053,995",9.8,29.7
06039,23.4,"152,165",12.5,13.6
06041,8.7,"258,821",5.2,54.6
06043,16.4,"17,758",10.5,21.3
06045,20.9,"87,471",8.2,22.0
06047,24.8,"263,481",14.5,12.6
06049,20.0,"9,112",12.4,18.7
06051,11.8,"14,016",8.5,29.8
06053,17.5,"429,123",10.3,23.0
06055,9.7,"140,580",6.8,31.3
06057,12.8,"98,262",8.1,32.3
06059,13.5,"3,121,854",6.5,36.8
06061,8.3,"367,339",7.7,35.1
06063,15.7,"18,877",13.9,22.6
06065,17.4,"2,296,956",9.9,20.5
06067,18.9,"1,463,149",8.9,28.0
06069,12.7,"57,594",11.1,18.2
06071,19.2,"2,093,306",9.8,18.7
06073,15.3,"3,222,558",7.8,34.6
06075,13.8,"841,138",5.5,52.4
06077,19.8,"705,027",12.4,18.1
06079,15.0,"276,284",6.8,31.5
06081,8.0,"750,489",5.2,44.4
06083,16.2,"436,076",7.1,31.3
06085,10.5,"1,871,107",6.5,46.5
06087,14.9,"269,444",10.3,37.0
06089,19.7,"179,137",11.8,18.8
06091,14.5,"3,040",12.9,18.5
06093,20.4,"43,773",13.2,23.9
06095,12.9,"425,219",9.0,24.3
06097,12.4,"495,432",7.0,32.2
06099,21.8,"526,286",12.9,16.4
06101,17.2,"95,287",14.6,18.7
06103,17.9,"63,130",11.7,13.5
06105,22.1,"13,444",12.1,21.3
06107,29.6,"454,725",14.4,13.3
06109,14.6,"53,911",10.8,19.5
06111,12.0,"840,972",7.9,31.4
06113,17.8,"205,485",9.1,37.9
06115,20.6,"73,361",13.1,13.7
08000,12.9,"5,272,086",6.8,37.0
08001,13.2,"470,547",8.0,20.9
08003,25.6,"16,256",9.4,24.2
08005,12.3,"608,128",6.5,38.8
08007,15.1,"12,202",8.6,32.9
08009,19.1,"3,679",4.1,17.2
08011,33.0,"5,734",7.5,8.8
08013,13.5,"310,396",5.4,58.3
08014,6.4,"60,306",5.8,47.5
08015,13.0,"18,335",6.1,33.9
08017,13.1,"1,898",4.2,21.3
08019,9.1,"9,110",6.2,39.8
08021,22.9,"8,258",10.4,19.1
08023,26.0,"3,539",11.1,19.5
08025,43.2,"5,333",7.3,12.3
08027,14.4,"4,271",6.3,32.7
08029,15.1,"30,326",8.5,18.3
08031,18.7,"648,401",6.6,42.9
08033,14.0,"2,025",8.2,18.4
08035,3.6,"306,297",5.3,55.8
08037,9.5,"52,441",6.1,47.0
08039,6.7,"23,713",5.8,29.6
08041,11.4,"655,453",7.9,35.2
08043,19.7,"46,463",10.5,15.6
08045,12.4,"57,102",7.3,26.6
08047,8.1,"5,572",5.9,29.1
08049,11.0,"14,319",5.8,32.8
08051,13.7,"15,505",5.5,54.5
08053,10.6,812,4.6,42.2
08055,22.8,"6,507",13.5,28.0
08057,15.7,"1,364",4.8,22.2
08059,9.1,"551,548",6.2,40.7
08061,12.9,"1,420",4.3,20.6
08063,15.1,"8,016",3.9,13.5
08065,14.7,"7,290",7.3,28.1
08067,12.4,"53,334",5.7,41.4
08069,13.8,"316,494",5.8,43.8
08071,18.0,"14,444",11.0,16.3
08073,19.1,"5,431",5.8,15.6
08075,16.9,"22,407",5.1,15.8
08077,15.4,"147,699",8.5,25.7
08079,9.9,723,5.9,39.3
08081,11.5,"13,115",6.7,15.6
08083,19.1,"25,667",7.6,27.3
08085,15.1,"40,744",9.4,24.5
08087,13.5,"28,389",6.5,15.1
08089,22.5,"18,572",9.6,15.5
08091,9.8,"4,578",7.1,47.5
08093,10.3,"16,128",6.1,32.0
08095,12.4,"4,355",4.5,16.8
08097,7.3,"17,381",6.4,56.8
08099,21.7,"12,281",6.2,14.1
08101,20.1,"161,320",9.8,21.5
08103,10.7,"6,759",7.6,23.1
08105,17.9,"11,755",11.2,20.3
08107,8.9,"23,458",5.9,48.0
08109,29.4,"6,226",11.0,23.8
08111,15.7,699,8.4,24.8
08113,11.9,"7,697",6.6,53.5
08115,14.5,"2,354",6.1,15.0
08117,9.3,"28,755",5.0,47.7
08119,8.4,"23,258",7.7,31.6
08121,14.0,"4,774",4.6,18.5
08123,13.2,"270,560",6.6,25.9
08125,13.0,"10,163",4.7,17.7
09000,10.7,"3,599,341",7.7,36.5
09001,9.6,"942,119",7.2,44.8
09003,12.1,"898,848",8.0,34.9
09005,7.2,"186,660",6.9,33.4
09007,7.3,"165,389",6.5,39.1
09009,12.8,"863,016",8.4,32.9
09011,9.4,"273,976",8.0,31.3
09013,6.4,"151,706",6.6,36.9
09015,13.0,"117,627",8.7,22.3
10000,12.9,"925,240",6.7,28.9
10001,13.5,"169,562",7.3,21.4
10003,11.9,"549,233",6.5,33.8
10005,14.8,"206,445",6.8,22.2
11000,18.8,"649,111",8.5,52.4
11001,18.8,"649,111",8.5,52.4
12000,17.1,"19,600,311",7.3,26.4
12001,25.7,"253,309",5.7,40.5
12003,18.8,"27,017",7.3,10.0
12005,18.0,"174,966",7.3,21.1
12007,21.8,"26,907",6.2,9.2
12009,15.0,"551,440",8.3,26.3
12011,15.2,"1,845,393",6.7,29.9
12013,23.8,"14,647",7.6,7.8
12015,14.4,"164,948",7.9,21.2
12017,17.3,"139,134",9.7,16.6
12019,9.9,"196,535",6.4,24.0
12021,13.4,"340,106",7.1,31.7
12023,18.8,"67,563",7.4,13.3
12027,33.9,"34,616",8.1,10.6
12029,27.1,"15,954",8.7,8.4
12031,17.1,"887,322",7.6,26.4
12033,17.6,"307,871",7.3,23.7
12035,14.5,"99,950",8.4,23.3
12037,25.9,"11,639",5.6,14.4
